tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
032431,CA0756,29084652.19,C,AL,2023-01-07
032432,CA7124,16667294.24,C,NJ,2023-01-07
032433,CA6429,88505912.05,C,CO,2023-01-07
032434,CA7532,92028465.04,D,CA,2023-01-07
032435,CA6378,93424352.79,D,AZ,2023-01-07
032436,CA4628,47265702.58,C,NJ,2023-01-07
032437,CA4914,34334777.34,C,CA,2023-01-07
032438,CA9281,70298188.7,C,WV,2023-01-07
032439,CA7320,77674059.46,C,CO,2023-01-07
032440,CA6909,32350809.19,C,CA,2023-01-07
032441,CA4672,85289383.78,C,AK,2023-01-07
032442,CA0632,33315885.85,D,CO,2023-01-07
032443,CA0997,34537817.45,C,NJ,2023-01-07
032444,CA4544,46428688.71,C,WV,2023-01-07
032445,CA3829,60518007.08,C,AL,2023-01-07
032446,CA4933,36195244.61,C,CO,2023-01-07
032447,CA1164,36681289.32,C,CO,2023-01-07
032448,CA3443,28449021.42,C,NJ,2023-01-07
032449,CA7685,77262907.87,C,CO,2023-01-07
032450,CA2028,68819839.67,C,AZ,2023-01-07
032451,CA9233,56642397.05,C,CO,2023-01-07
032452,CA2025,70455375.19,C,NJ,2023-01-07
032453,CA9454,70156064.03,C,KY,2023-01-07
032454,CA5150,53072925.99,C,WV,2023-01-07
032455,CA2750,31973631.84,D,NJ,2023-01-07
032456,CA5996,95863737.05,D,AK,2023-01-07
032457,CA8955,29998541.6,D,KY,2023-01-07
032458,CA1606,43691881.67,D,WV,2023-01-07
032459,CA4286,39035181.91,C,AK,2023-01-07
032460,CA8473,54282827.26,C,AZ,2023-01-07
032461,CA7535,27331223.89,C,AL,2023-01-07
032462,CA3966,57631232.74,C,AZ,2023-01-07
032463,CA4858,70332908.55,D,AL,2023-01-07
032464,CA0371,93295241.71,D,AZ,2023-01-07
032465,CA8267,94048812.48,D,CO,2023-01-07
032466,CA6657,98831025.0,C,CO,2023-01-07
032467,CA4980,40259017.42,D,AZ,2023-01-07
032468,CA5901,38326156.94,C,KY,2023-01-07
032469,CA0208,9109575.11,D,KY,2023-01-07
032470,CA1011,80989458.9,C,NJ,2023-01-07
032471,CA8744,96071051.15,C,AL,2023-01-07
032472,CA5821,21302049.4,C,KY,2023-01-07
032473,CA9584,43845630.2,D,AL,2023-01-07
032474,CA4034,3125772.67,D,NJ,2023-01-07
032475,CA8233,13572882.82,C,CA,2023-01-07
032476,CA4727,43039037.39,C,CA,2023-01-07
032477,CA2143,70162236.57,C,KY,2023-01-07
032478,CA0105,91847445.94,C,WV,2023-01-07
032479,CA8823,51476668.66,C,NJ,2023-01-07
032480,CA4176,71711092.05,D,WV,2023-01-07
032481,CA3120,77254181.25,C,AL,2023-01-07
032482,CA7013,63386546.37,C,CA,2023-01-07
032483,CA3088,77729874.32,C,KY,2023-01-07
032484,CA4875,97666964.06,C,CO,2023-01-07
032485,CA2364,81101621.82,C,AL,2023-01-07
032486,CA0216,92243091.45,D,CA,2023-01-07
032487,CA3557,13702503.05,D,AK,2023-01-07
032488,CA3842,9288616.55,C,WV,2023-01-07
032489,CA3932,98951311.85,C,AZ,2023-01-07
032490,CA1526,49662556.04,D,AK,2023-01-07
032491,CA9613,50208674.0,D,CO,2023-01-07
032492,CA7067,57618551.44,C,AZ,2023-01-07
032493,CA7966,1406392.77,D,CA,2023-01-07
032494,CA3693,95171431.66,C,CO,2023-01-07
032495,CA2910,75023801.84,C,CO,2023-01-07
032496,CA9588,55280975.79,D,AL,2023-01-07
032497,CA3226,84437867.5,D,WV,2023-01-07
032498,CA1948,55144223.98,C,AK,2023-01-07
032499,CA1373,31624180.74,D,KY,2023-01-07
032500,CA5017,11474421.14,C,CO,2023-01-07
032501,CA3365,80612827.92,D,KY,2023-01-07
032502,CA0822,92011852.3,C,CA,2023-01-07
032503,CA2681,72052583.39,C,CA,2023-01-07
032504,CA5189,7898472.49,C,AK,2023-01-07
032505,CA8079,47423905.59,C,KY,2023-01-07
032506,CA9914,73263804.98,D,WV,2023-01-07
032507,CA3155,42278057.93,D,NJ,2023-01-07
032508,CA3250,41657286.16,C,CO,2023-01-07
032509,CA3892,28146879.69,D,AK,2023-01-07
032510,CA6496,28423197.12,C,AL,2023-01-07
032511,CA9199,98708261.4,D,WV,2023-01-07
032512,CA6981,68652126.82,D,AK,2023-01-07
032513,CA6072,3861547.65,D,KY,2023-01-07
032514,CA6385,41236526.59,D,WV,2023-01-07
032515,CA1888,35432296.64,D,AL,2023-01-07
032516,CA8824,46004418.65,C,CA,2023-01-07
032517,CA5894,7570901.73,D,WV,2023-01-07
032518,CA0240,30125613.15,D,AK,2023-01-07
032519,CA3900,91322162.73,C,AZ,2023-01-07
032520,CA7671,18354478.89,D,AK,2023-01-07
032521,CA3610,4757266.5,D,AL,2023-01-07
032522,CA7094,66060928.44,C,AK,2023-01-07
032523,CA2814,5679444.72,D,NJ,2023-01-07
032524,CA3899,33955854.92,C,CA,2023-01-07
032525,CA7847,86798868.72,D,CO,2023-01-07
032526,CA6892,67256336.81,D,WV,2023-01-07
032527,CA6762,64542194.13,C,CO,2023-01-07
032528,CA4758,76106248.48,D,AL,2023-01-07
032529,CA6563,38876932.74,D,WV,2023-01-07
032530,CA8048,62878567.13,C,WV,2023-01-07
032531,CA0686,5586444.49,C,AZ,2023-01-07
032532,CA7463,20198998.58,D,WV,2023-01-07
032533,CA9369,17865007.95,C,AL,2023-01-07
032534,CA2174,29312724.45,C,WV,2023-01-07
032535,CA5993,32203154.59,C,AL,2023-01-07
032536,CA8941,43536755.51,C,AZ,2023-01-07
032537,CA8893,95102923.14,D,AZ,2023-01-07
032538,CA0166,28194017.18,D,CA,2023-01-07
