tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
000001,CA6285,52318513.81,C,AZ,2023-01-01
000002,CA5831,27167515.45,D,AL,2023-01-01
000003,CA8246,60576544.72,C,AL,2023-01-01
000004,CA7060,9879871.53,D,AK,2023-01-01
000005,CA0017,37976021.92,C,AK,2023-01-01
000006,CA3635,5788970.95,C,AZ,2023-01-01
000007,CA5145,66919431.11,C,KY,2023-01-01
000008,CA9168,49977460.73,C,AL,2023-01-01
000009,CA7878,58660611.4,D,AL,2023-01-01
000010,CA3609,45573064.68,C,AK,2023-01-01
000011,CA2960,68845515.5,C,AL,2023-01-01
000012,CA8053,84367525.55,C,NJ,2023-01-01
000013,CA7572,80416472.58,D,AL,2023-01-01
000014,CA4751,70384469.95,D,AZ,2023-01-01
000015,CA1083,85935448.43,D,CA,2023-01-01
000016,CA3712,32264276.07,C,CA,2023-01-01
000017,CA3195,88035741.95,C,NJ,2023-01-01
000018,CA2643,67440920.58,C,AL,2023-01-01
000019,CA1064,89057166.19,D,CO,2023-01-01
000020,CA0324,70741426.47,C,KY,2023-01-01
000021,CA5225,85794235.67,C,AL,2023-01-01
000022,CA4673,37648775.11,C,NJ,2023-01-01
000023,CA1786,72459367.45,D,AK,2023-01-01
000024,CA0897,47717229.88,D,WV,2023-01-01
000025,CA9862,60868466.38,C,AZ,2023-01-01
000026,CA7958,94833454.2,C,WV,2023-01-01
000027,CA4534,27142739.1,C,AL,2023-01-01
000028,CA9708,20439285.63,D,NJ,2023-01-01
000029,CA2868,91421191.24,C,NJ,2023-01-01
000030,CA7369,24250479.74,C,AL,2023-01-01
000031,CA4493,69487428.52,D,AL,2023-01-01
000032,CA4092,92119713.95,D,KY,2023-01-01
000033,CA3671,39753074.52,C,CO,2023-01-01
000034,CA5189,35483665.5,D,CA,2023-01-01
000035,CA4107,96031838.93,C,CA,2023-01-01
000036,CA8833,39926174.4,D,AZ,2023-01-01
000037,CA0006,23586268.91,C,NJ,2023-01-01
000038,CA2884,86917875.36,C,AZ,2023-01-01
000039,CA7963,22489819.79,C,AL,2023-01-01
000040,CA3076,31878367.85,D,AZ,2023-01-01
000041,CA9090,72130836.77,C,AL,2023-01-01
000042,CA0438,1194951.47,D,CO,2023-01-01
000043,CA1086,44240263.64,C,AL,2023-01-01
000044,CA1546,22724620.7,D,CA,2023-01-01
000045,CA3522,33496697.08,D,AZ,2023-01-01
000046,CA6577,50453155.38,D,AK,2023-01-01
000047,CA9174,51042134.91,D,CO,2023-01-01
000048,CA4800,85706179.4,C,AL,2023-01-01
000049,CA3876,39656070.25,D,AZ,2023-01-01
000050,CA6398,69524088.09,C,NJ,2023-01-01
000051,CA4814,51768430.93,C,NJ,2023-01-01
000052,CA3425,43720587.28,C,CA,2023-01-01
000053,CA4051,22906276.01,C,WV,2023-01-01
000054,CA2021,76455424.3,C,CO,2023-01-01
000055,CA5604,945112.89,C,AL,2023-01-01
000056,CA1511,52148286.74,D,NJ,2023-01-01
000057,CA0580,95258389.83,C,AK,2023-01-01
000058,CA3715,95635518.37,C,CO,2023-01-01
000059,CA7460,1730502.22,D,NJ,2023-01-01
000060,CA0979,26189786.76,D,NJ,2023-01-01
000061,CA5311,76936615.39,D,CO,2023-01-01
000062,CA0917,22462908.68,D,AZ,2023-01-01
000063,CA4336,82144771.16,D,AK,2023-01-01
000064,CA5326,42994435.08,C,AK,2023-01-01
000065,CA9134,36128727.76,C,CO,2023-01-01
000066,CA6217,35330748.83,D,WV,2023-01-01
000067,CA0286,5982999.29,D,AL,2023-01-01
000068,CA8540,19988999.13,D,AL,2023-01-01
000069,CA5477,20941331.88,C,AK,2023-01-01
000070,CA6713,2227384.54,C,AK,2023-01-01
000071,CA4558,49467166.77,C,KY,2023-01-01
