tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
035053,CA3908,58146420.81,D,CA,2023-01-07
035054,CA5796,52859422.27,D,CO,2023-01-07
035055,CA6347,70384608.65,C,NJ,2023-01-07
035056,CA8173,47614240.93,D,WV,2023-01-07
035057,CA2281,66282306.6,C,CO,2023-01-07
035058,CA4973,12625454.94,C,KY,2023-01-07
035059,CA7298,57552054.4,C,AL,2023-01-07
035060,CA9701,71162258.52,C,CA,2023-01-07
035061,CA5823,56380873.79,D,NJ,2023-01-07
035062,CA8865,19320294.9,D,CO,2023-01-07
035063,CA1282,44606725.12,D,KY,2023-01-07
035064,CA7163,2143403.52,D,AZ,2023-01-07
035065,CA0396,14777366.17,C,AK,2023-01-07
035066,CA1306,93234936.41,C,KY,2023-01-07
035067,CA2994,99843784.59,C,AK,2023-01-07
035068,CA5922,6020707.37,C,CA,2023-01-07
035069,CA8492,29877102.64,D,WV,2023-01-07
035070,CA1318,74942653.2,C,WV,2023-01-07
035071,CA2541,23716356.9,C,AL,2023-01-07
035072,CA2699,29079553.95,D,AK,2023-01-07
035073,CA7344,27747968.45,D,CA,2023-01-07
035074,CA0857,68501333.14,C,AL,2023-01-07
035075,CA2860,93991566.53,D,AK,2023-01-07
035076,CA4093,33853373.71,C,AZ,2023-01-07
035077,CA8157,75056321.41,C,AK,2023-01-07
035078,CA6735,79535182.11,C,NJ,2023-01-07
035079,CA7718,40600572.0,D,WV,2023-01-07
035080,CA0365,86108990.57,C,KY,2023-01-07
035081,CA2353,66294058.24,D,CA,2023-01-07
035082,CA0427,99005147.27,D,AZ,2023-01-07
035083,CA1740,73778976.14,C,AZ,2023-01-07
035084,CA5414,58682848.26,D,AL,2023-01-07
035085,CA6334,96023226.94,C,AK,2023-01-07
035086,CA6255,2000571.02,C,WV,2023-01-07
035087,CA2242,8096803.14,C,CO,2023-01-07
035088,CA7480,46672690.84,C,AK,2023-01-07
035089,CA7554,85901727.63,D,NJ,2023-01-07
035090,CA2243,87227729.57,C,KY,2023-01-07
035091,CA7557,18200014.45,D,AZ,2023-01-07
035092,CA5069,18109420.43,C,NJ,2023-01-07
035093,CA3493,91716211.48,C,KY,2023-01-07
035094,CA4429,15263335.4,D,KY,2023-01-07
035095,CA3839,82522702.65,D,AL,2023-01-07
035096,CA3319,92618052.47,D,AZ,2023-01-07
035097,CA2880,70017573.15,D,NJ,2023-01-07
035098,CA8175,39827901.48,D,KY,2023-01-07
035099,CA0337,19539825.67,C,NJ,2023-01-07
035100,CA0051,16857992.76,D,KY,2023-01-07
035101,CA2275,60771355.72,D,CA,2023-01-07
035102,CA7211,43505806.66,D,NJ,2023-01-07
035103,CA0014,27870889.44,D,KY,2023-01-07
035104,CA8868,34671033.43,C,KY,2023-01-07
035105,CA6343,52166758.98,D,CA,2023-01-07
035106,CA3185,69829887.23,D,KY,2023-01-07
035107,CA6243,56127077.22,C,AL,2023-01-07
035108,CA0569,80707060.56,D,CO,2023-01-07
035109,CA5907,37363610.04,D,WV,2023-01-07
035110,CA3623,77977155.16,C,AZ,2023-01-07
035111,CA5687,93545201.9,D,AK,2023-01-07
035112,CA3084,38055792.24,C,CO,2023-01-07
035113,CA8292,47236793.49,C,CA,2023-01-07
035114,CA9943,82661032.82,C,NJ,2023-01-07
035115,CA5038,91726213.62,D,AZ,2023-01-07
035116,CA6693,38732387.68,C,AK,2023-01-07
035117,CA7772,37123644.92,D,KY,2023-01-07
035118,CA2747,93319341.55,D,CO,2023-01-07
035119,CA8707,55573912.18,C,KY,2023-01-07
035120,CA4486,52863639.47,D,AK,2023-01-07
035121,CA0401,62280318.73,D,AL,2023-01-07
035122,CA8419,7528919.27,C,WV,2023-01-07
035123,CA9789,98472062.66,C,NJ,2023-01-07
035124,CA1491,10935819.41,C,CA,2023-01-07
035125,CA2302,18436993.62,D,AK,2023-01-07
035126,CA8002,79405572.61,D,CO,2023-01-07
035127,CA8517,24402789.99,C,AK,2023-01-07
035128,CA8997,99468804.15,C,NJ,2023-01-07
