tran_id,cust_id,tran_ammount,tran_type,tran_stat_cd,tran_date
012659,CA6802,88405506.14,C,KY,2023-01-03
012660,CA0823,45082598.45,C,WV,2023-01-03
012661,CA7006,4469782.95,C,AL,2023-01-03
012662,CA1126,18855813.19,D,CA,2023-01-03
012663,CA0983,6096447.61,C,CO,2023-01-03
012664,CA4872,16010993.4,C,AZ,2023-01-03
012665,CA4814,55733918.3,D,WV,2023-01-03
012666,CA9760,13547553.63,C,AK,2023-01-03
012667,CA0037,58793152.81,C,CA,2023-01-03
012668,CA8814,57341500.5,D,AZ,2023-01-03
012669,CA6052,96904791.13,D,KY,2023-01-03
012670,CA2983,11043723.47,D,AK,2023-01-03
012671,CA3386,73457522.23,D,CA,2023-01-03
012672,CA2838,88356447.43,C,CA,2023-01-03
012673,CA8684,60789070.49,D,KY,2023-01-03
012674,CA3540,14143584.11,D,AZ,2023-01-03
012675,CA7537,84115369.82,C,AL,2023-01-03
012676,CA1901,17313593.27,C,CO,2023-01-03
012677,CA2283,66597528.15,D,CA,2023-01-03
012678,CA2391,20503486.2,C,AK,2023-01-03
012679,CA3607,66843068.96,C,WV,2023-01-03
012680,CA9854,67848543.18,C,CA,2023-01-03
012681,CA7145,52235534.31,C,KY,2023-01-03
012682,CA8400,61237602.33,C,CA,2023-01-03
012683,CA6832,91358713.48,D,CO,2023-01-03
012684,CA9281,49485598.14,C,KY,2023-01-03
012685,CA5457,48099149.41,C,CA,2023-01-03
012686,CA6175,98519724.67,C,AK,2023-01-03
012687,CA1876,36324521.67,C,AZ,2023-01-03
012688,CA8184,16775213.04,C,AK,2023-01-03
012689,CA6377,4948505.1,C,AZ,2023-01-03
012690,CA5661,80275156.51,D,CO,2023-01-03
012691,CA9221,3824798.66,C,AL,2023-01-03
012692,CA1066,96926686.37,C,AZ,2023-01-03
012693,CA4343,39369008.1,C,KY,2023-01-03
012694,CA7743,59837481.86,C,WV,2023-01-03
012695,CA6984,87981716.91,C,AZ,2023-01-03
012696,CA8077,71203644.68,C,WV,2023-01-03
012697,CA3358,59675397.43,C,AK,2023-01-03
012698,CA5195,97319244.9,D,AL,2023-01-03
012699,CA7660,4788130.1,D,CA,2023-01-03
012700,CA1223,3306591.32,D,AZ,2023-01-03
012701,CA3209,11908492.51,D,WV,2023-01-03
012702,CA6213,81569802.29,C,KY,2023-01-03
012703,CA7151,25775995.62,D,AZ,2023-01-03
012704,CA4572,9343579.78,D,AK,2023-01-03
012705,CA8163,83494168.96,D,CA,2023-01-03
012706,CA0006,80093229.21,C,WV,2023-01-03
012707,CA3313,25728278.33,D,CO,2023-01-03
012708,CA4652,53444228.44,D,KY,2023-01-03
012709,CA2213,53842854.36,D,KY,2023-01-03
012710,CA0589,39367245.14,D,KY,2023-01-03
012711,CA9311,31471108.4,D,CA,2023-01-03
012712,CA6528,27913815.13,D,NJ,2023-01-03
012713,CA9619,91409467.83,D,AL,2023-01-03
012714,CA4204,81009894.38,D,AL,2023-01-03
012715,CA2415,9033931.49,C,KY,2023-01-03
012716,CA9950,82305944.57,D,AK,2023-01-03
012717,CA8331,55588372.52,D,WV,2023-01-03
012718,CA2205,3844987.04,D,AZ,2023-01-03
012719,CA7880,47534472.24,C,CA,2023-01-03
012720,CA4735,19887323.26,C,KY,2023-01-03
012721,CA3620,45736551.13,D,CA,2023-01-03
012722,CA2650,94945515.91,D,WV,2023-01-03
012723,CA3197,91718194.88,C,CA,2023-01-03
012724,CA5898,65847913.27,C,AZ,2023-01-03
012725,CA8253,28818005.38,C,CA,2023-01-03
012726,CA4748,26086222.11,C,NJ,2023-01-03
012727,CA2533,66132601.7,C,AL,2023-01-03
012728,CA9994,50785329.27,C,CO,2023-01-03
012729,CA8353,85780324.11,D,AZ,2023-01-03
012730,CA1854,41680565.63,C,AZ,2023-01-03
012731,CA9049,36551827.97,D,AL,2023-01-03
012732,CA4833,70020906.95,C,KY,2023-01-03
012733,CA9737,24407746.41,D,CA,2023-01-03
012734,CA8919,58324662.2,D,AK,2023-01-03
012735,CA4922,35483871.0,D,WV,2023-01-03
012736,CA7345,4447301.96,C,NJ,2023-01-03
012737,CA1864,88854274.84,C,WV,2023-01-03
012738,CA2308,79581974.14,D,CA,2023-01-03
012739,CA6710,88407390.75,C,AZ,2023-01-03
012740,CA1779,29822894.67,D,NJ,2023-01-03
012741,CA1165,50387195.63,C,KY,2023-01-03
012742,CA1599,96584346.95,D,NJ,2023-01-03
012743,CA5650,17707868.7,D,CA,2023-01-03
012744,CA3442,43238547.83,C,NJ,2023-01-03
012745,CA7971,39076199.38,C,WV,2023-01-03
012746,CA9627,82091901.55,D,AZ,2023-01-03
012747,CA6931,83036592.53,D,CO,2023-01-03
012748,CA3768,26285228.99,C,WV,2023-01-03
012749,CA8049,91254719.5,D,AZ,2023-01-03
012750,CA9924,23163067.38,D,NJ,2023-01-03
012751,CA1255,21922380.44,D,KY,2023-01-03
012752,CA3365,99583147.17,C,NJ,2023-01-03
012753,CA8939,35340073.11,D,CO,2023-01-03
012754,CA5558,29264323.17,D,AL,2023-01-03
012755,CA8119,87926925.44,C,CA,2023-01-03
012756,CA2494,86891213.29,D,AZ,2023-01-03
012757,CA2507,40775695.73,C,CA,2023-01-03
012758,CA8217,27975896.72,C,CO,2023-01-03
012759,CA3539,16223168.77,D,CO,2023-01-03
012760,CA0579,39235607.9,D,AK,2023-01-03
012761,CA5978,6219769.17,C,AK,2023-01-03
012762,CA0955,96230152.47,D,AZ,2023-01-03
012763,CA5254,60718048.71,C,CA,2023-01-03
012764,CA0276,49630960.98,C,AL,2023-01-03
012765,CA7986,42721460.84,D,KY,2023-01-03
012766,CA4601,82083102.12,C,WV,2023-01-03
012767,CA8994,77838884.74,D,KY,2023-01-03
012768,CA5054,30707586.72,C,AZ,2023-01-03
012769,CA2380,66574378.23,C,AL,2023-01-03
012770,CA5955,80778012.07,C,CO,2023-01-03
012771,CA7166,45920149.86,D,AL,2023-01-03
012772,CA3239,9639147.13,C,KY,2023-01-03
012773,CA2659,13622430.74,D,WV,2023-01-03
012774,CA7941,76213230.13,D,NJ,2023-01-03
012775,CA9260,84915490.3,D,CA,2023-01-03
012776,CA9645,68525963.79,C,NJ,2023-01-03
012777,CA3893,33450716.81,C,CO,2023-01-03
012778,CA3035,44202489.29,C,CO,2023-01-03
012779,CA9843,77431789.82,D,AZ,2023-01-03
012780,CA3787,72402522.79,D,AK,2023-01-03
012781,CA5427,22175361.45,D,AL,2023-01-03
012782,CA4083,89505151.27,D,AK,2023-01-03
012783,CA2864,17771508.42,D,CA,2023-01-03
012784,CA2552,8481773.9,C,CO,2023-01-03
012785,CA2449,1114475.12,D,WV,2023-01-03
012786,CA5597,51184320.83,D,CA,2023-01-03
012787,CA3361,84728068.24,D,WV,2023-01-03
012788,CA2605,16101290.1,C,CO,2023-01-03
012789,CA4274,6046654.54,C,WV,2023-01-03
012790,CA5231,75321971.79,D,KY,2023-01-03
012791,CA0512,11696582.65,D,AZ,2023-01-03
012792,CA5757,14986575.76,D,WV,2023-01-03
012793,CA4345,72352526.97,D,WV,2023-01-03
012794,CA4796,24216847.17,D,NJ,2023-01-03
012795,CA7728,6187541.76,C,KY,2023-01-03
012796,CA4245,95596310.96,C,NJ,2023-01-03
012797,CA8750,32740553.91,C,CO,2023-01-03
012798,CA2147,33587363.42,D,AL,2023-01-03
012799,CA5528,14270783.06,C,NJ,2023-01-03
012800,CA1473,23096042.07,D,CO,2023-01-03
012801,CA8420,91467979.23,C,AK,2023-01-03
012802,CA4694,26791784.31,D,CA,2023-01-03
012803,CA9770,98088453.02,C,AZ,2023-01-03
012804,CA1668,93614529.5,D,AL,2023-01-03
012805,CA4083,14333699.23,D,KY,2023-01-03
012806,CA2742,58241764.41,C,WV,2023-01-03
012807,CA2262,57574194.86,D,CO,2023-01-03
012808,CA7487,65172309.2,D,AL,2023-01-03
012809,CA5855,2774475.55,D,CA,2023-01-03
