orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Nokia,Nk400,411.21,2023-02-10
0000002,Samsung,watch320,881.27,2023-02-10
0000003,Samsung,watch340,228.59,2023-02-10
0000004,Samsung,watch320,721.53,2023-02-10
0000005,Nokia,Nk400,492.28,2023-02-10
0000006,Apple,iphoneSE,616.02,2023-02-10
0000007,Nokia,Nk320,627.94,2023-02-10
0000008,Apple,iphone12,773.71,2023-02-10
0000009,Nokia,Nk500,206.4,2023-02-10
0000010,Samsung,galaxy10,298.09,2023-02-10
0000011,Nokia,Nk320,591.03,2023-02-10
0000012,Samsung,watch340,923.35,2023-02-10
0000013,Samsung,watch340,414.5,2023-02-10
0000014,Nokia,Nk400,124.24,2023-02-10
0000015,Samsung,galaxy11,160.69,2023-02-10
0000016,Samsung,galaxy13,182.37,2023-02-10
0000017,Apple,Macbook512,380.61,2023-02-10
0000018,Nokia,Nk320,847.44,2023-02-10
0000019,Samsung,watch320,482.69,2023-02-10
0000020,Nokia,Nk500,696.62,2023-02-10
0000021,Samsung,watch340,452.59,2023-02-10
0000022,Apple,iphone12,459.41,2023-02-10
0000023,Apple,IpadMini,249.84,2023-02-10
0000024,Nokia,Nk400,530.12,2023-02-10
0000025,Apple,laptop256,307.52,2023-02-10
0000026,Apple,IpadMini,874.82,2023-02-10
0000027,Samsung,watch320,310.95,2023-02-10
0000028,Nokia,Nk400,202.16,2023-02-10
0000029,Nokia,Nk400,544.18,2023-02-10
0000030,Apple,laptop256,269.24,2023-02-10
0000031,Nokia,Nk400,508.67,2023-02-10
0000032,Nokia,Nk400,697.02,2023-02-10
0000033,Samsung,galaxy12,880.22,2023-02-10
0000034,Samsung,galaxy11,811.84,2023-02-10
0000035,Apple,IpadMini,840.7,2023-02-10
0000036,Samsung,watch320,929.61,2023-02-10
0000037,Nokia,Nk400,762.01,2023-02-10
0000038,Samsung,galaxy13,161.06,2023-02-10
0000039,Nokia,Nk500,679.64,2023-02-10
0000040,Apple,IpadMini,773.13,2023-02-10
0000041,Samsung,watch340,262.17,2023-02-10
0000042,Nokia,Nk400,305.33,2023-02-10
0000043,Nokia,Nk320,510.33,2023-02-10
0000044,Apple,iphone12,892.13,2023-02-10
0000045,Samsung,galaxy11,692.47,2023-02-10
0000046,Samsung,galaxy13,332.05,2023-02-10
0000047,Apple,iphon11,525.48,2023-02-10
0000048,Nokia,Nk400,904.21,2023-02-10
0000049,Samsung,galaxy13,406.09,2023-02-10
0000050,Samsung,watch320,819.56,2023-02-10
0000051,Nokia,Nk400,835.15,2023-02-10
0000052,Samsung,galaxy10,911.6,2023-02-10
0000053,Nokia,Nk320,379.77,2023-02-10
0000054,Samsung,galaxy10,310.14,2023-02-10
0000055,Nokia,Nk500,934.87,2023-02-10
0000056,Nokia,Nk400,710.59,2023-02-10
0000057,Nokia,Nk500,455.7,2023-02-10
0000058,Samsung,galaxy13,833.71,2023-02-10
0000059,Nokia,Nk320,199.82,2023-02-10
0000060,Apple,laptop256,232.4,2023-02-10
0000061,Nokia,Nk320,926.22,2023-02-10
0000062,Samsung,watch320,332.77,2023-02-10
0000063,Nokia,Nk500,777.85,2023-02-10
0000064,Samsung,galaxy10,266.47,2023-02-10
0000065,Apple,iphoneSE,409.84,2023-02-10
0000066,Samsung,galaxy12,389.43,2023-02-10
0000067,Apple,iphoneSE,228.22,2023-02-10
0000068,Apple,iphoneSE,862.39,2023-02-10
0000069,Apple,iphone12,736.01,2023-02-10
0000070,Nokia,Nk320,533.36,2023-02-10
0000071,Apple,iphone12,676.36,2023-02-10
0000072,Samsung,galaxy11,860.17,2023-02-10
0000073,Samsung,galaxy11,301.19,2023-02-10
0000074,Apple,laptop256,215.22,2023-02-10
0000075,Apple,iphone13,233.44,2023-02-10
0000076,Nokia,Nk400,598.95,2023-02-10
0000077,Samsung,galaxy10,381.5,2023-02-10
0000078,Nokia,Nk320,581.29,2023-02-10
0000079,Samsung,galaxy13,854.63,2023-02-10
0000080,Nokia,Nk320,982.83,2023-02-10
0000081,Apple,iphon11,294.31,2023-02-10
0000082,Apple,Macbook512,490.28,2023-02-10
0000083,Samsung,galaxy11,440.04,2023-02-10
0000084,Nokia,Nk400,694.65,2023-02-10
0000085,Samsung,watch340,708.69,2023-02-10
0000086,Nokia,Nk320,774.14,2023-02-10
0000087,Nokia,Nk320,993.64,2023-02-10
0000088,Samsung,watch320,992.49,2023-02-10
0000089,Nokia,Nk320,166.91,2023-02-10
0000090,Apple,IpadMini,167.0,2023-02-10
0000091,Apple,iphon11,828.57,2023-02-10
0000092,Samsung,galaxy12,988.74,2023-02-10
0000093,Samsung,galaxy12,396.95,2023-02-10
0000094,Apple,iphone12,656.92,2023-02-10
0000095,Nokia,Nk320,757.88,2023-02-10
0000096,Samsung,watch320,419.43,2023-02-10
0000097,Nokia,Nk400,829.9,2023-02-10
0000098,Apple,laptop256,677.03,2023-02-10
0000099,Nokia,Nk320,816.69,2023-02-10
0000100,Samsung,galaxy13,149.92,2023-02-10
0000101,Nokia,Nk320,852.66,2023-02-10
0000102,Samsung,watch320,567.16,2023-02-10
0000103,Samsung,galaxy10,539.28,2023-02-10
0000104,Apple,iphoneSE,835.61,2023-02-10
0000105,Nokia,Nk320,102.47,2023-02-10
0000106,Nokia,Nk320,981.34,2023-02-10
0000107,Samsung,galaxy12,646.7,2023-02-10
0000108,Apple,iphone12,897.0,2023-02-10
0000109,Apple,IpadMax,870.55,2023-02-10
0000110,Apple,iphoneSE,153.89,2023-02-10
0000111,Nokia,Nk500,675.37,2023-02-10
0000112,Apple,iphon11,979.78,2023-02-10
0000113,Nokia,Nk400,525.77,2023-02-10
0000114,Samsung,galaxy11,620.68,2023-02-10
0000115,Samsung,galaxy10,752.42,2023-02-10
0000116,Apple,IpadMax,483.57,2023-02-10
0000117,Nokia,Nk400,198.19,2023-02-10
0000118,Samsung,watch320,394.13,2023-02-10
0000119,Nokia,Nk500,900.44,2023-02-10
0000120,Apple,IpadMax,561.21,2023-02-10
0000121,Samsung,galaxy10,774.94,2023-02-10
0000122,Samsung,watch340,293.96,2023-02-10
0000123,Samsung,galaxy10,279.59,2023-02-10
0000124,Samsung,galaxy11,868.2,2023-02-10
0000125,Nokia,Nk500,598.79,2023-02-10
0000126,Samsung,watch340,151.25,2023-02-10
0000127,Samsung,watch340,701.5,2023-02-10
0000128,Nokia,Nk500,738.13,2023-02-10
0000129,Nokia,Nk320,304.44,2023-02-10
0000130,Nokia,Nk320,606.18,2023-02-10
0000131,Apple,laptop256,640.33,2023-02-10
0000132,Nokia,Nk500,383.59,2023-02-10
0000133,Samsung,galaxy10,624.69,2023-02-10
0000134,Samsung,galaxy12,407.68,2023-02-10
0000135,Samsung,galaxy13,623.68,2023-02-10
0000136,Nokia,Nk500,116.76,2023-02-10
0000137,Nokia,Nk400,745.68,2023-02-10
0000138,Nokia,Nk500,790.34,2023-02-10
0000139,Samsung,galaxy11,330.09,2023-02-10
0000140,Apple,iphon11,570.03,2023-02-10
0000141,Apple,Macbook512,302.37,2023-02-10
0000142,Samsung,watch320,126.47,2023-02-10
0000143,Apple,iphoneSE,113.51,2023-02-10
0000144,Nokia,Nk400,898.62,2023-02-10
0000145,Apple,iphone13,738.87,2023-02-10
0000146,Nokia,Nk320,695.72,2023-02-10
0000147,Samsung,galaxy11,563.73,2023-02-10
0000148,Samsung,watch320,162.74,2023-02-10
0000149,Apple,IpadMax,743.02,2023-02-10
0000150,Apple,iphon11,540.78,2023-02-10
0000151,Samsung,galaxy11,769.83,2023-02-10
0000152,Nokia,Nk500,693.78,2023-02-10
0000153,Nokia,Nk320,917.99,2023-02-10
0000154,Apple,IpadMini,303.51,2023-02-10
0000155,Samsung,galaxy10,814.62,2023-02-10
0000156,Nokia,Nk500,294.63,2023-02-10
0000157,Samsung,galaxy10,410.48,2023-02-10
0000158,Samsung,galaxy13,112.92,2023-02-10
0000159,Apple,iphone13,695.13,2023-02-10
0000160,Apple,iphone12,210.7,2023-02-10
0000161,Nokia,Nk400,832.94,2023-02-10
0000162,Nokia,Nk400,134.82,2023-02-10
0000163,Nokia,Nk400,886.13,2023-02-10
0000164,Apple,IpadMax,885.73,2023-02-10
0000165,Samsung,watch320,883.24,2023-02-10
0000166,Samsung,watch340,489.22,2023-02-10
0000167,Apple,IpadMax,718.65,2023-02-10
0000168,Apple,laptop256,759.42,2023-02-10
0000169,Nokia,Nk400,230.06,2023-02-10
0000170,Nokia,Nk500,993.89,2023-02-10
0000171,Apple,iphone13,492.95,2023-02-10
0000172,Nokia,Nk500,418.93,2023-02-10
0000173,Samsung,galaxy10,985.37,2023-02-10
0000174,Apple,laptop256,705.13,2023-02-10
0000175,Samsung,watch320,286.49,2023-02-10
0000176,Apple,iphone13,458.12,2023-02-10
0000177,Nokia,Nk500,231.48,2023-02-10
0000178,Apple,iphone12,183.43,2023-02-10
0000179,Nokia,Nk320,131.13,2023-02-10
0000180,Apple,iphone12,970.5,2023-02-10
0000181,Nokia,Nk500,992.64,2023-02-10
0000182,Nokia,Nk400,153.51,2023-02-10
0000183,Samsung,galaxy11,945.41,2023-02-10
0000184,Nokia,Nk400,828.23,2023-02-10
0000185,Nokia,Nk400,890.2,2023-02-10
0000186,Apple,iphone12,893.64,2023-02-10
0000187,Samsung,galaxy12,986.79,2023-02-10
0000188,Nokia,Nk500,998.31,2023-02-10
0000189,Samsung,galaxy12,639.48,2023-02-10
0000190,Samsung,watch340,545.8,2023-02-10
0000191,Samsung,galaxy13,184.56,2023-02-10
0000192,Apple,Macbook512,909.41,2023-02-10
0000193,Samsung,galaxy12,680.99,2023-02-10
0000194,Samsung,galaxy11,372.77,2023-02-10
0000195,Apple,Macbook512,241.36,2023-02-10
0000196,Samsung,galaxy12,744.56,2023-02-10
0000197,Samsung,galaxy12,101.9,2023-02-10
0000198,Nokia,Nk320,831.56,2023-02-10
0000199,Apple,iphon11,531.56,2023-02-10
0000200,Apple,laptop256,505.15,2023-02-10
0000201,Samsung,watch340,653.8,2023-02-10
0000202,Nokia,Nk500,238.57,2023-02-10
0000203,Nokia,Nk400,226.97,2023-02-10
0000204,Nokia,Nk400,610.68,2023-02-10
0000205,Apple,laptop256,545.68,2023-02-10
0000206,Nokia,Nk500,644.1,2023-02-10
0000207,Apple,laptop256,342.83,2023-02-10
0000208,Nokia,Nk500,224.55,2023-02-10
0000209,Nokia,Nk320,803.78,2023-02-10
0000210,Samsung,watch320,566.83,2023-02-10
0000211,Samsung,galaxy11,100.84,2023-02-10
0000212,Samsung,watch340,180.49,2023-02-10
0000213,Samsung,galaxy12,857.45,2023-02-10
0000214,Apple,Macbook512,221.26,2023-02-10
0000215,Nokia,Nk320,659.31,2023-02-10
0000216,Samsung,watch320,119.03,2023-02-10
0000217,Samsung,watch320,707.42,2023-02-10
0000218,Nokia,Nk320,881.07,2023-02-10
0000219,Apple,iphone13,378.69,2023-02-10
0000220,Nokia,Nk320,233.07,2023-02-10
0000221,Apple,laptop256,589.63,2023-02-10
0000222,Nokia,Nk320,227.06,2023-02-10
0000223,Apple,iphone12,845.14,2023-02-10
0000224,Nokia,Nk500,358.47,2023-02-10
0000225,Apple,iphone13,942.64,2023-02-10
0000226,Samsung,watch320,884.66,2023-02-10
0000227,Nokia,Nk320,262.55,2023-02-10
0000228,Samsung,watch320,919.1,2023-02-10
0000229,Nokia,Nk500,883.33,2023-02-10
0000230,Samsung,watch320,885.38,2023-02-10
0000231,Samsung,galaxy11,670.71,2023-02-10
0000232,Samsung,galaxy12,724.41,2023-02-10
0000233,Nokia,Nk400,469.03,2023-02-10
0000234,Samsung,galaxy10,739.81,2023-02-10
0000235,Apple,IpadMax,360.9,2023-02-10
0000236,Nokia,Nk500,431.06,2023-02-10
0000237,Samsung,watch320,650.67,2023-02-10
0000238,Apple,IpadMini,671.29,2023-02-10
0000239,Samsung,watch320,228.46,2023-02-10
0000240,Samsung,galaxy13,950.97,2023-02-10
0000241,Apple,IpadMini,995.25,2023-02-10
0000242,Nokia,Nk500,554.37,2023-02-10
0000243,Samsung,watch340,906.57,2023-02-10
0000244,Apple,Macbook512,554.34,2023-02-10
0000245,Nokia,Nk500,903.22,2023-02-10
0000246,Nokia,Nk500,857.63,2023-02-10
0000247,Apple,IpadMax,921.65,2023-02-10
0000248,Nokia,Nk400,458.47,2023-02-10
0000249,Nokia,Nk500,293.34,2023-02-10
0000250,Samsung,galaxy10,980.67,2023-02-10
0000251,Samsung,galaxy11,148.58,2023-02-10
0000252,Samsung,galaxy13,414.52,2023-02-10
0000253,Samsung,watch340,937.26,2023-02-10
0000254,Apple,laptop256,440.23,2023-02-10
0000255,Apple,iphon11,184.66,2023-02-10
0000256,Apple,iphon11,548.31,2023-02-10
0000257,Nokia,Nk320,586.47,2023-02-10
0000258,Samsung,watch340,670.43,2023-02-10
0000259,Apple,laptop256,995.98,2023-02-10
0000260,Samsung,galaxy10,786.15,2023-02-10
0000261,Samsung,galaxy13,932.98,2023-02-10
0000262,Nokia,Nk500,588.03,2023-02-10
0000263,Samsung,watch320,397.39,2023-02-10
0000264,Apple,Macbook512,815.54,2023-02-10
0000265,Nokia,Nk320,913.43,2023-02-10
0000266,Nokia,Nk500,305.99,2023-02-10
0000267,Nokia,Nk320,828.32,2023-02-10
0000268,Nokia,Nk400,845.33,2023-02-10
0000269,Samsung,galaxy13,422.54,2023-02-10
0000270,Apple,iphone12,477.02,2023-02-10
0000271,Apple,IpadMax,391.36,2023-02-10
0000272,Apple,iphon11,557.17,2023-02-10
0000273,Nokia,Nk320,489.07,2023-02-10
0000274,Nokia,Nk500,973.93,2023-02-10
0000275,Samsung,galaxy10,180.88,2023-02-10
0000276,Apple,iphone13,538.43,2023-02-10
0000277,Samsung,watch320,386.77,2023-02-10
0000278,Samsung,galaxy13,581.97,2023-02-10
0000279,Nokia,Nk320,760.6,2023-02-10
0000280,Samsung,galaxy10,458.77,2023-02-10
0000281,Apple,Macbook512,791.35,2023-02-10
0000282,Apple,iphone12,503.23,2023-02-10
0000283,Nokia,Nk320,997.67,2023-02-10
0000284,Apple,IpadMini,606.48,2023-02-10
0000285,Apple,IpadMini,723.88,2023-02-10
0000286,Samsung,watch340,234.15,2023-02-10
0000287,Apple,Macbook512,456.88,2023-02-10
0000288,Apple,IpadMini,433.92,2023-02-10
0000289,Nokia,Nk500,688.42,2023-02-10
0000290,Nokia,Nk500,868.43,2023-02-10
0000291,Nokia,Nk320,936.31,2023-02-10
0000292,Apple,iphone12,607.15,2023-02-10
0000293,Apple,IpadMini,126.19,2023-02-10
0000294,Samsung,watch340,825.5,2023-02-10
0000295,Apple,iphon11,668.94,2023-02-10
0000296,Samsung,galaxy10,625.71,2023-02-10
0000297,Nokia,Nk400,117.25,2023-02-10
0000298,Nokia,Nk500,208.47,2023-02-10
0000299,Nokia,Nk320,864.91,2023-02-10
0000300,Nokia,Nk500,848.85,2023-02-10
0000301,Samsung,galaxy11,275.41,2023-02-10
