orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Samsung,galaxy13,290.92,2023-02-02
0000002,Nokia,Nk320,236.57,2023-02-02
0000003,Samsung,watch340,354.96,2023-02-02
0000004,Samsung,watch340,497.5,2023-02-02
0000005,Samsung,galaxy12,253.29,2023-02-02
0000006,Apple,iphone13,303.46,2023-02-02
0000007,Samsung,galaxy11,500.93,2023-02-02
0000008,Apple,IpadMini,484.05,2023-02-02
0000009,Samsung,galaxy12,645.86,2023-02-02
0000010,Apple,Macbook512,945.67,2023-02-02
0000011,Nokia,Nk400,623.14,2023-02-02
0000012,Nokia,Nk500,914.07,2023-02-02
0000013,Samsung,watch340,849.7,2023-02-02
0000014,Apple,IpadMini,732.51,2023-02-02
0000015,Samsung,galaxy10,213.23,2023-02-02
0000016,Samsung,galaxy10,468.5,2023-02-02
0000017,Samsung,galaxy13,700.26,2023-02-02
0000018,Samsung,watch340,603.13,2023-02-02
0000019,Apple,IpadMini,558.23,2023-02-02
0000020,Apple,laptop256,591.08,2023-02-02
0000021,Apple,laptop256,800.63,2023-02-02
0000022,Apple,Macbook512,386.97,2023-02-02
0000023,Nokia,Nk500,835.62,2023-02-02
0000024,Nokia,Nk400,459.22,2023-02-02
0000025,Apple,iphon11,120.54,2023-02-02
0000026,Samsung,galaxy10,294.11,2023-02-02
0000027,Nokia,Nk400,488.81,2023-02-02
0000028,Samsung,galaxy12,424.83,2023-02-02
0000029,Nokia,Nk400,976.04,2023-02-02
0000030,Samsung,watch320,369.45,2023-02-02
0000031,Nokia,Nk400,606.94,2023-02-02
0000032,Samsung,galaxy11,226.84,2023-02-02
0000033,Nokia,Nk400,902.96,2023-02-02
0000034,Nokia,Nk320,415.79,2023-02-02
0000035,Apple,IpadMax,247.84,2023-02-02
0000036,Apple,laptop256,121.96,2023-02-02
0000037,Samsung,watch320,346.53,2023-02-02
0000038,Nokia,Nk400,782.28,2023-02-02
0000039,Apple,laptop256,289.7,2023-02-02
0000040,Apple,iphon11,954.1,2023-02-02
0000041,Samsung,galaxy11,672.85,2023-02-02
0000042,Samsung,watch340,350.92,2023-02-02
0000043,Apple,laptop256,674.33,2023-02-02
0000044,Nokia,Nk500,594.82,2023-02-02
0000045,Samsung,galaxy13,566.12,2023-02-02
0000046,Apple,iphone12,616.35,2023-02-02
0000047,Samsung,watch320,785.7,2023-02-02
0000048,Nokia,Nk320,490.27,2023-02-02
0000049,Nokia,Nk500,654.45,2023-02-02
0000050,Apple,iphoneSE,444.19,2023-02-02
0000051,Apple,laptop256,488.58,2023-02-02
0000052,Nokia,Nk400,158.86,2023-02-02
0000053,Nokia,Nk400,411.79,2023-02-02
0000054,Apple,iphoneSE,660.97,2023-02-02
0000055,Nokia,Nk400,456.14,2023-02-02
0000056,Apple,IpadMini,818.44,2023-02-02
0000057,Apple,iphoneSE,721.94,2023-02-02
0000058,Apple,IpadMini,560.4,2023-02-02
0000059,Apple,IpadMax,294.75,2023-02-02
0000060,Apple,Macbook512,103.85,2023-02-02
0000061,Apple,iphoneSE,141.35,2023-02-02
0000062,Nokia,Nk500,160.71,2023-02-02
0000063,Samsung,watch340,637.9,2023-02-02
0000064,Nokia,Nk500,486.66,2023-02-02
0000065,Nokia,Nk320,968.35,2023-02-02
0000066,Nokia,Nk400,283.24,2023-02-02
0000067,Nokia,Nk400,626.43,2023-02-02
0000068,Apple,iphon11,550.51,2023-02-02
0000069,Nokia,Nk320,147.17,2023-02-02
0000070,Nokia,Nk400,463.03,2023-02-02
0000071,Nokia,Nk500,431.97,2023-02-02
0000072,Samsung,galaxy13,167.56,2023-02-02
0000073,Nokia,Nk400,317.35,2023-02-02
0000074,Nokia,Nk320,758.08,2023-02-02
0000075,Samsung,watch320,163.8,2023-02-02
0000076,Apple,IpadMax,483.85,2023-02-02
0000077,Samsung,watch320,579.15,2023-02-02
0000078,Samsung,galaxy10,498.3,2023-02-02
0000079,Nokia,Nk500,146.27,2023-02-02
0000080,Apple,iphoneSE,831.79,2023-02-02
0000081,Nokia,Nk320,853.51,2023-02-02
0000082,Samsung,galaxy13,696.1,2023-02-02
0000083,Apple,laptop256,406.34,2023-02-02
0000084,Nokia,Nk320,335.88,2023-02-02
